 	Mean	Angle	Length
1	49.750	0	35.579
2	67.167	0	35.579
3	85.855	0	46.177
4	45.036	0	40.878
5	55.028	0	26.495
6	71.333	0	28.766
7	74.504	0	28.388
8	99.794	0	24.981
9	69.732	0	30.280
10	62.364	0	32.551
11	57.735	0	24.981
12	43.179	0	25.738
13	52.600	0	37.093
14	68.762	0	31.037
15	61.049	0	30.280
16	71.595	0	27.252
17	51.500	0	35.579
18	87.636	0	24.224
19	67.079	0	28.009
20	59.625	0	29.523
21	65.500	0	24.981
22	64.293	0	30.280
23	73.897	0	28.766
24	79.943	0	39.364
25	19.333	0	37.850
26	76.913	0	34.065
27	21.024	0	30.280
28	71.053	0	28.009
29	36.133	0	33.308
30	68.610	0	30.280
31	64.020	0	36.336
32	75.578	0	33.308
33	30.864	0	32.551
34	57.909	0	40.878
35	37.962	0	38.607
36	27.750	0	32.551
37	60.975	0	59.803
38	77.324	0	27.252
39	55.857	0	25.738
40	70.186	0	31.794
41	43.583	0	26.495
42	78.895	0	28.009
43	69.721	0	31.794
44	78.723	0	34.822
45	41.604	0	39.364
46	20.811	0	39.364
47	43.953	0	31.794
48	59.723	0	34.822
49	25.000	0	27.252
50	37.458	0	43.906
51	65.136	0	32.551
52	64.170	0	34.822
53	54.316	0	28.009
54	57.178	0	33.308
55	37.070	0	31.794
56	67.278	0	26.495
57	47.267	0	21.953
58	65.162	0	27.252
59	39.274	0	46.177
60	60.568	0	27.252
61	76.740	0	37.093
62	62.930	0	31.794
63	80.585	0	39.364
64	50.077	0	28.766
65	41.436	0	28.766
66	73.366	0	30.280
67	46.359	0	28.766
68	62.907	0	31.794
69	60.854	0	30.280
70	25.765	0	24.981
71	45.660	0	34.822
72	70.800	0	29.523
73	33.965	0	42.392
74	49.596	0	34.822
75	49.487	0	28.766
76	79.432	0	27.252
77	74.512	0	31.794
78	65.195	0	30.280
79	42.512	0	30.280
80	51.286	0	46.934
81	51.745	0	34.822
82	60.839	0	22.710
83	67.426	0	34.822
84	19.367	0	36.336
85	49.829	0	25.738
86	35.610	0	30.280
87	63.319	0	34.822
88	64.610	0	30.280
89	80.122	0	36.336
90	69.667	0	24.224
91	55.512	0	30.280
92	41.340	0	34.822
93	47.140	0	31.794
94	69.711	0	33.308
95	51.641	0	28.766
96	73.339	0	43.906
97	50.821	0	28.766
98	71.740	0	35.579
99	72.930	0	31.794
100	90.605	0	31.794
101	110.923	0	28.766
102	63.287	0	34.822
103	91.175	0	42.392
104	70.951	0	30.280
105	37.378	0	33.308
106	42.902	0	30.280
107	52.475	0	45.420
108	69.333	0	33.308
109	69.029	0	25.738
110	55.303	0	24.224
111	69.372	0	28.766
112	58.872	0	28.766
113	53.485	0	24.224
114	50.341	0	30.280
115	69.788	0	24.224
116	81.545	0	40.878
117	62.458	0	43.906
118	67.724	0	21.196
119	77.366	0	30.280
120	65.569	0	37.850
121	83.857	0	36.336
122	93.791	0	27.252
123	81.600	0	33.308
124	100.889	0	33.308
125	88.571	0	25.738
126	72.077	0	28.766
127	84.641	0	28.766
128	75.465	0	31.794
129	64.784	0	37.850
130	72.576	0	24.224
131	90.405	0	27.252
132	82.394	0	24.224
133	94.314	0	25.738
